time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-30T20:24:52.160Z,35.9209,-98.2686,5,2.7,mb_lg,,48,0.109,0.26,us,us10008dd4,2017-03-30T20:49:56.040Z,"15km ENE of Watonga, Oklahoma",earthquake,1.3,1.9,0.089,33,reviewed,us,us
2017-03-30T14:48:30.640Z,36.2807,-97.517,5,2.8,mb_lg,,27,0.206,0.12,us,us10008db5,2017-03-30T15:02:16.040Z,"20km W of Perry, Oklahoma",earthquake,1.3,1.8,0.077,44,reviewed,us,us
2017-03-30T08:32:49.680Z,37.374,-97.3752,5,2.9,mb_lg,,168,0.202,0.2,us,us10008d8w,2017-04-02T22:56:03.953Z,"8km WSW of Belle Plaine, Kansas",earthquake,1.8,2,0.067,58,reviewed,us,us
2017-03-29T20:23:52.000Z,46.36,-72.41,18,2.7,mb_lg,,,,0.81,us,us10008d81,2017-04-02T05:32:17.040Z,"3km NNE of Becancour, Canada",earthquake,2.3,2,,,reviewed,ott,ott
2017-03-29T15:37:41.540Z,36.8098,-97.6205,2.91,4.1,mwr,,69,0.196,0.11,us,us20008vls,2017-04-02T23:20:45.246Z,"10km E of Medford, Oklahoma",earthquake,1.2,4.5,0.066,22,reviewed,us,us
2017-03-28T23:49:10.940Z,36.5313,-98.955,5.85,2.5,mb_lg,,65,0.104,0.34,us,us20008vfq,2017-03-29T15:53:46.022Z,"24km ENE of Mooreland, Oklahoma",earthquake,2.1,4.1,0.104,24,reviewed,us,us
2017-03-28T13:46:30.150Z,36.114,-98.7575,5,2.5,mb_lg,,84,0.33,0.25,us,us20008vaq,2017-03-28T14:23:28.040Z,"20km ENE of Taloga, Oklahoma",earthquake,1.1,1.9,0.18,8,reviewed,us,us
2017-03-28T07:27:33.430Z,36.2733,-97.5173,3.06,2.6,mb_lg,,28,0.201,0.31,us,us20008v7l,2017-03-29T02:02:04.701Z,"20km W of Perry, Oklahoma",earthquake,0.6,7.5,0.084,37,reviewed,us,us
2017-03-28T07:18:02.380Z,36.2853,-97.5167,5,2.7,mb_lg,,27,0.228,0.39,us,us20008v7k,2017-03-28T07:45:28.040Z,"20km W of Perry, Oklahoma",earthquake,1.2,2,0.084,37,reviewed,us,us
2017-03-27T04:32:09.460Z,36.2764,-97.5616,4.88,2.7,mb_lg,,19,0.18,0.25,us,us20008uxu,2017-03-28T01:51:02.187Z,"24km W of Perry, Oklahoma",earthquake,0.8,4,0.065,62,reviewed,us,us
2017-03-25T20:38:44.890Z,36.6766,-97.7596,1.2,4,mb_lg,,39,0.192,0.09,us,us20008una,2017-03-29T21:55:11.468Z,"14km S of Medford, Oklahoma",earthquake,1.5,6.8,0.046,125,reviewed,us,us
2017-03-25T11:48:13.890Z,36.2671,-97.5742,1.51,2.5,mb_lg,,28,0.166,0.36,us,us20008ukj,2017-03-31T08:47:23.040Z,"25km W of Perry, Oklahoma",earthquake,1.5,7.9,0.085,36,reviewed,us,us
2017-03-25T11:44:13.600Z,36.2746,-97.5636,6.343,3,ml,,25,,0.33,us,us20008uki,2017-03-31T08:44:21.040Z,"24km W of Perry, Oklahoma",earthquake,1.4,6.6,,,reviewed,tul,tul
2017-03-25T11:33:12.400Z,36.2751,-97.5659,6.72,3.1,ml,,25,,0.26,us,us20008ukd,2017-03-31T08:43:18.702Z,"25km W of Perry, Oklahoma",earthquake,0.9,6.6,,,reviewed,tul,tul
2017-03-25T11:05:34.400Z,36.2757,-97.5625,7.29,3.6,ml,,25,,0.36,us,us20008uk1,2017-03-31T08:36:14.564Z,"24km W of Perry, Oklahoma",earthquake,1.2,7.4,,,reviewed,tul,tul
2017-03-25T08:36:59.000Z,47.46,-70.12,10.9,2.5,mb_lg,,,,0.47,us,us20008urn,2017-04-01T01:30:08.040Z,"13km NNW of La Pocatiere, Canada",earthquake,3.1,7.6,,,reviewed,ott,ott
2017-03-25T03:35:34.930Z,36.4475,-98.7596,5,2.6,mb_lg,,70,0.033,0.56,us,us20008ui0,2017-03-25T04:08:43.040Z,"31km NW of Fairview, Oklahoma",earthquake,3.2,2,0.147,12,reviewed,us,us
2017-03-24T16:55:35.560Z,36.1344,-97.8207,5,3.5,mb_lg,,29,0.101,0.2,us,us20008ucq,2017-03-25T14:23:26.150Z,"7km ENE of Hennessey, Oklahoma",earthquake,1.2,2,0.053,93,reviewed,us,us
2017-03-24T16:50:52.960Z,35.8462,-97.3661,6.4,2.5,mb_lg,,47,0.087,0.25,us,us20008ucm,2017-03-24T18:59:41.040Z,"6km SE of Guthrie, Oklahoma",earthquake,1.1,3.1,0.128,16,reviewed,us,us
2017-03-24T08:30:27.420Z,36.7027,-98.4281,5.77,2.7,mb_lg,,123,0.201,0.24,us,us20008u88,2017-03-24T08:42:46.040Z,"8km SW of Cherokee, Oklahoma",earthquake,1.4,5.2,0.09,32,reviewed,us,us
2017-03-24T04:50:58.780Z,35.7532,-97.1494,5,2.7,mb_lg,,32,0.103,0.59,us,us20008u7b,2017-03-24T12:53:16.616Z,"10km NNE of Luther, Oklahoma",earthquake,2.7,2,0.098,27,reviewed,us,us
2017-03-23T22:02:25.300Z,35.6698,-97.4006,6.57,2.5,ml,,64,,0.58,us,us20008ugt,2017-03-25T23:43:14.040Z,"7km ENE of Edmond, Oklahoma",earthquake,0.9,4.7,,,reviewed,tul,tul
2017-03-23T17:28:47.030Z,35.8952,-98.2769,5,2.7,mb_lg,,76,0.129,0.26,us,us20008u3d,2017-03-24T01:07:35.648Z,"13km ENE of Watonga, Oklahoma",earthquake,1.2,1.7,0.128,16,reviewed,us,us
2017-03-23T06:56:13.800Z,36.4543,-98.7887,4.703,2.5,ml,,51,,0.3,us,us20008tz4,2017-03-24T05:01:35.040Z,"34km NW of Fairview, Oklahoma",earthquake,0.9,2.3,,,reviewed,tul,tul
2017-03-23T06:32:10.000Z,36.4134,-96.8313,5.587,2.6,ml,,40,,0.16,us,us20008tz0,2017-03-24T05:02:53.040Z,"8km NNW of Pawnee, Oklahoma",earthquake,0.8,2.2,,,reviewed,tul,tul
2017-03-23T05:02:06.760Z,36.1248,-98.7194,5,2.5,mb_lg,,141,0.331,0.19,us,us20008tyi,2017-03-23T05:58:57.040Z,"23km ENE of Taloga, Oklahoma",earthquake,1.7,2,0.18,8,reviewed,us,us
2017-03-22T21:44:20.400Z,36.4203,-96.8914,5.158,2.7,ml,,45,,0.24,us,us20008twj,2017-04-01T05:25:14.716Z,"12km NW of Pawnee, Oklahoma",earthquake,0.8,3,,,reviewed,tul,tul
2017-03-22T16:40:38.900Z,35.8543,-96.6629,5,2.5,ml,,45,,0.21,us,us20008tts,2017-03-23T22:54:38.040Z,"11km N of Stroud, Oklahoma",earthquake,1.1,3.2,,,reviewed,tul,tul
2017-03-22T14:45:53.370Z,37.0534,-97.3662,1.51,2.5,mb_lg,,141,0.098,0.19,us,us20008tyq,2017-03-28T23:56:46.160Z,"21km E of Caldwell, Kansas",earthquake,1.2,0.8,0.147,12,reviewed,us,us
2017-03-22T14:00:09.100Z,35.8537,-96.6512,4.708,3.7,mwr,,42,,0.21,us,us20008trk,2017-03-26T19:25:58.789Z,"11km N of Stroud, Oklahoma",earthquake,1,2.5,0.051,37,reviewed,tul,us
2017-03-22T13:36:28.140Z,36.4841,-98.792,4.29,2.7,mb_lg,,85,0.04,0.32,us,us20008tqm,2017-03-22T21:39:00.534Z,"36km NW of Fairview, Oklahoma",earthquake,1.7,2.1,0.104,24,reviewed,us,us
2017-03-22T13:22:46.140Z,36.4834,-98.7977,1.32,2.5,mb_lg,,87,0.045,0.21,us,us20008tqj,2017-03-22T13:30:04.040Z,"36km E of Mooreland, Oklahoma",earthquake,1.2,4.4,0.136,14,reviewed,us,us
2017-03-21T18:25:09.500Z,36.009,-96.7643,3.489,2.7,ml,,60,,0.24,us,us20008tkf,2017-03-22T16:10:39.242Z,"2km N of Cushing, Oklahoma",earthquake,0.7,2.1,,,reviewed,tul,tul
2017-03-21T17:06:46.500Z,36.307,-97.5883,7.242,2.5,ml,,38,,0.25,us,us20008tjq,2017-03-22T14:10:10.040Z,"27km ESE of Enid, Oklahoma",earthquake,0.9,4.8,,,reviewed,tul,tul
2017-03-20T18:47:13.590Z,36.9094,-98.1293,5,2.5,mb_lg,,96,0.123,0.14,us,us20008tci,2017-03-21T16:29:28.953Z,"26km NE of Cherokee, Oklahoma",earthquake,1.1,1.8,0.154,11,reviewed,us,us
2017-03-20T15:13:35.100Z,36.7019,-98.4345,6.589,2.6,ml,,81,,0.21,us,us20008tbb,2017-04-03T16:11:40.040Z,"9km SW of Cherokee, Oklahoma",earthquake,1.6,1.5,,,reviewed,tul,tul
2017-03-19T14:25:12.570Z,36.8795,-89.1278333,12.22,3.16,md,63,55,0.1898,0.17,nm,nm60181601,2017-04-02T18:32:41.040Z,"10km W of Bardwell, Kentucky",earthquake,0.28,1.02,0.119,68,reviewed,nm,nm
2017-03-19T11:16:34.100Z,36.5025,-97.1454,7.078,2.5,ml,,63,,0.41,us,us20008t5n,2017-03-31T06:47:59.040Z,"21km SSW of McCord, Oklahoma",earthquake,1.7,5.1,,,reviewed,tul,tul
2017-03-17T20:09:08.250Z,36.7115,-98.231,8.42,2.6,mb_lg,,61,0.093,0.27,us,us20008suv,2017-03-18T16:44:30.040Z,"12km ESE of Cherokee, Oklahoma",earthquake,1.3,5.2,0.106,23,reviewed,us,us
2017-03-16T19:51:27.700Z,36.4771,-98.2106,6.336,2.6,ml,,49,,0.63,us,us20008sj7,2017-04-03T22:56:46.231Z,"9km SE of Helena, Oklahoma",earthquake,1.8,7.5,,,reviewed,tul,tul
2017-03-16T18:55:21.600Z,36.4108,-96.9141,3.973,2.5,ml,,27,,0.14,us,us20008siv,2017-04-03T22:55:59.525Z,"12km NW of Pawnee, Oklahoma",earthquake,0.9,1.5,,,reviewed,tul,tul
2017-03-16T08:58:00.270Z,36.7002,-98.4252,5.27,3.4,mb_lg,,62,0.201,0.2,us,us20008sfv,2017-03-18T02:41:13.621Z,"8km SW of Cherokee, Oklahoma",earthquake,0.8,6.1,0.052,98,reviewed,us,us
2017-03-16T06:20:13.980Z,36.2291,-97.2113,5,2.7,mb_lg,,29,0.036,0.24,us,us20008sf2,2017-03-16T06:33:16.439Z,"9km SE of Perry, Oklahoma",earthquake,1,2,0.088,34,reviewed,us,us
2017-03-15T22:21:24.860Z,37.0298,-97.9018,5.43,2.7,ml,,116,0.082,0.28,us,us20008sd6,2017-03-29T05:04:06.715Z,"17km SE of Anthony, Kansas",earthquake,1.2,3,0.162,16,reviewed,ismp,ismp
2017-03-15T21:07:21.000Z,35.9867,-97.1975,6.741,2.7,ml,,31,,0.21,us,us20008scv,2017-03-26T04:36:18.547Z,"6km NE of Langston, Oklahoma",earthquake,1.1,4.5,,,reviewed,tul,tul
2017-03-15T19:14:35.200Z,35.9008,-98.2878,6.871,3.4,ml,,48,,0.19,us,us20008sbs,2017-03-22T23:40:46.040Z,"12km ENE of Watonga, Oklahoma",earthquake,1.2,4.3,,,reviewed,tul,tul
2017-03-15T18:26:17.100Z,36.4004,-96.8845,4.414,2.5,ml,,40,,0.19,us,us20008sbe,2017-03-23T22:40:21.040Z,"10km NW of Pawnee, Oklahoma",earthquake,0.8,1.8,,,reviewed,tul,tul
2017-03-15T16:57:52.680Z,36.8806667,-89.114,8.5,2.62,md,32,106,0.2009,0.15,nm,nm60180746,2017-03-29T02:19:43.040Z,"9km W of Bardwell, Kentucky",earthquake,0.51,1.99,0.074,9,reviewed,nm,nm
2017-03-15T16:51:10.090Z,36.8816667,-89.1225,8.39,3.59,mw,90,40,0.1943,0.18,nm,nm60180726,2017-04-03T10:53:04.018Z,"9km SSW of Wickliffe, Kentucky",earthquake,0.27,1.01,,9,reviewed,nm,nm
2017-03-15T16:22:15.100Z,37.0308,-97.903,5.6,2.6,ml,,117,0.081,0.28,us,us20008sa3,2017-03-29T01:44:59.040Z,"17km SE of Anthony, Kansas",earthquake,1.2,1.8,0.165,15,reviewed,ismp,ismp
2017-03-15T15:16:47.500Z,36.4008,-96.8841,5,3.5,ml,,40,,0.26,us,us20008s9y,2017-03-29T18:51:07.144Z,"10km NW of Pawnee, Oklahoma",earthquake,1.3,3,,,reviewed,tul,tul
2017-03-14T08:32:34.380Z,37.2732,-98.1562,5,2.5,ml,,115,0.128,0.44,us,us100088um,2017-03-24T07:48:53.040Z,"11km W of Harper, Kansas",earthquake,2.2,2,0.055,44,reviewed,us,us
2017-03-13T23:52:18.500Z,35.7995,-96.6457,6.585,2.6,ml,,89,,0.44,us,us100088s1,2017-03-25T23:02:56.040Z,"5km N of Stroud, Oklahoma",earthquake,1.4,5.3,,,reviewed,tul,tul
2017-03-13T02:11:35.270Z,37.7023333,-77.8155,11.4,2.6,mlg,11,60,0.2656,0.13,se,se60180296,2017-03-21T17:59:27.604Z,"6km ENE of Goochland, Virginia",earthquake,0.32,0.91,,5,reviewed,se,se
2017-03-12T20:19:54.880Z,37.0684,-97.3701,5,2.8,mb_lg,,62,0.102,0.37,us,us100088jz,2017-04-02T19:52:15.746Z,"21km S of Wellington, Kansas",earthquake,1.7,1.8,0.17,9,reviewed,us,us
2017-03-12T17:28:17.000Z,36.7021,-97.6749,7.981,2.9,ml,,50,,0.2,us,us100088jh,2017-04-02T17:42:37.763Z,"12km SSE of Medford, Oklahoma",earthquake,1.3,4.5,,,reviewed,tul,tul
2017-03-12T10:43:07.500Z,36.4544,-96.881,4.354,2.7,ml,,47,,0.31,us,us100088i1,2017-03-24T06:51:01.252Z,"14km NNW of Pawnee, Oklahoma",earthquake,1.3,3.8,,,reviewed,tul,tul
2017-03-12T07:10:08.530Z,37.1506,-97.8031,5,2.6,ml,,64,0.035,0.25,us,us100088he,2017-03-15T21:40:01.990Z,"20km E of Anthony, Kansas",earthquake,2.4,1.6,0.056,42,reviewed,us,us
2017-03-12T01:00:48.000Z,36.9038,-98.2241,5.894,2.5,ml,,83,,0.63,us,us100088g7,2017-03-21T23:50:49.040Z,"20km NE of Cherokee, Oklahoma",earthquake,0.6,6.2,,,reviewed,tul,tul
2017-03-11T23:26:01.200Z,36.7019,-97.6761,8.184,2.6,ml,,50,,0.2,us,us100088fv,2017-03-25T00:04:17.040Z,"12km SSE of Medford, Oklahoma",earthquake,1.1,4.2,,,reviewed,tul,tul
2017-03-11T13:56:47.610Z,34.5706667,-87.1506667,5.28,2.69,md,23,59,0.1472,0.16,se,se60179996,2017-04-01T19:59:22.040Z,"6km SW of Trinity, Alabama",earthquake,0.33,0.76,0.08,17,reviewed,se,se
2017-03-11T02:10:32.200Z,36.4561,-96.8817,4.48,2.6,ml,,47,,0.19,us,us100088cg,2017-04-01T23:33:40.257Z,"14km NNW of Pawnee, Oklahoma",earthquake,1.2,4.5,,,reviewed,tul,tul
2017-03-10T23:54:59.500Z,36.4427,-96.9691,5.302,2.9,ml,,29,,0.28,us,us100088c8,2017-03-27T02:36:23.040Z,"18km NW of Pawnee, Oklahoma",earthquake,0.9,2.9,,,reviewed,tul,tul
2017-03-10T23:44:18.100Z,35.9941,-96.8016,4.103,2.5,ml,,48,,0.24,us,us100088c7,2017-03-27T02:34:48.246Z,"3km WNW of Cushing, Oklahoma",earthquake,0.7,1.7,,,reviewed,tul,tul
2017-03-10T19:12:51.900Z,36.85,-98.2269,6.709,2.9,ml,,97,,0.46,us,us100088ad,2017-03-21T16:59:51.040Z,"15km NE of Cherokee, Oklahoma",earthquake,1.2,4,,,reviewed,tul,tul
2017-03-10T14:31:33.600Z,36.4528,-96.8856,4.331,2.9,ml,,48,,0.23,us,us10008865,2017-03-17T09:03:36.040Z,"14km NNW of Pawnee, Oklahoma",earthquake,1.1,2,,,reviewed,tul,tul
2017-03-10T13:49:55.700Z,36.2838,-97.5105,7.443,2.9,ml,,25,,0.35,us,us10008863,2017-03-17T09:00:16.482Z,"19km W of Perry, Oklahoma",earthquake,1,6.8,,,reviewed,tul,tul
2017-03-10T13:32:53.000Z,35.6703,-97.3957,6.663,2.6,ml,,22,,0.32,us,us1000885i,2017-03-17T08:33:45.859Z,"7km ENE of Edmond, Oklahoma",earthquake,1.9,5.9,,,reviewed,tul,tul
2017-03-10T07:42:46.900Z,36.3211667,-89.5365,10,2.51,md,42,27,0.04103,0.17,nm,nm60179831,2017-03-29T08:23:32.040Z,"7km NW of Ridgely, Tennessee",earthquake,0.26,0.36,0.104,34,reviewed,nm,nm
2017-03-10T03:25:36.460Z,37.2669,-98.1736,5,2.7,ml,,120,0.143,0.59,us,us10008826,2017-03-10T03:34:43.040Z,"13km W of Harper, Kansas",earthquake,1.8,1.9,0.06,36,reviewed,us,us
2017-03-09T23:49:28.120Z,37.073,-97.983,7.53,3.2,ml,,142,0.095,0.44,us,us1000881b,2017-03-27T02:26:42.762Z,"9km SSE of Anthony, Kansas",earthquake,1.6,2.5,0.161,17,reviewed,ismp,ismp
2017-03-09T22:06:12.410Z,37.2827,-98.1545,8.83,2.8,mb_lg,,73,0.125,0.33,us,us1000880j,2017-03-27T02:18:37.040Z,"11km W of Harper, Kansas",earthquake,2.2,7.3,0.064,64,reviewed,us,us
2017-03-09T19:42:35.500Z,36.8676,-98.8181,3.401,2.8,ml,,120,,0.14,us,us100087yx,2017-03-22T22:59:51.326Z,"15km WNW of Alva, Oklahoma",earthquake,1.9,2.7,,,reviewed,tul,tul
