id,network,station,latitude,longitude,gapsperday,peravailability,nlnm1,nlnmp25,nlnm8,nlnm22,nlnm110,meanp25,stdp25,mc100km,aggregate
1,2B,LNDFL,42.9776,-75.7682,0.111111111111111,93.9709814814815,27.2345447967863,43.406298270226,18.6636070007998,28.5625334119327,42.2273461271494,-123.450857381849,7.39000646105481,2.71,83.8868048177222
2,2B,TWNOF,42.9701,-75.7863,0.111111111111111,93.7706666666667,25.6915677918227,28.4007615220956,18.0006751862647,21.2254501673757,33.9282409923278,-138.456394129979,4.96248301443904,2.07,88.6205421097153
3,2B,WT11,42.9882,-75.7677,0.111111111111111,93.9474444444444,36.5936580386544,50.8203047308016,18.52610336226,23.1646529949307,37.6145182907697,-116.036850921273,9.99388944669431,3.12,82.6540894744833
4,2B,WT12,42.9807,-75.7673,0.117647058823529,92.7045882352941,45.5726212509422,56.6980698479416,23.8029924968367,43.3397358816614,62.5533533014024,-110.159085804133,9.70236575144165,3.32,71.9608045498689
5,2B,WT16,42.9747,-75.7593,0.153846153846154,92.5577692307692,30.7232908071411,44.6748364280887,19.5942369645749,21.2677027823746,32.2014432152156,-122.182319223986,9.28755231687581,2.86,85.2536916623695
6,2B,WT18E,42.9756,-75.7675,0.1,93.85705,35.8818670859672,53.842810616212,18.2755255510636,24.09666156553,36.1606141911853,-113.014345035863,10.4478979632554,3.26,82.5249177944926
7,2B,WT18N,42.9757,-75.768,0.105263157894737,94.9696315789474,43.9004769042821,58.0665196096718,19.5735606008479,32.0062706171341,50.8910718477182,-108.790636042403,10.8215209289869,3.44,76.8132292761085
8,2B,WT18W,42.9753,-75.768,0.105263157894737,94.3151578947368,36.9699579822904,54.5750663945707,18.0474373227417,23.5333758879635,38.5390937748251,-112.282089257504,10.0428861717579,3.26,82.0554645445433
9,2B,WT20,42.9776,-75.7381,0.125,93.4575625,30.7593697054162,41.0850202354079,17.85294977472,22.6462418102192,31.6176125975308,-125.772135416667,10.1282725878345,2.79,85.8949981482262
10,2B,WT7,42.9945,-75.7649,0.0625,97.6694375,29.3369826212594,38.6628055614949,17.6505272821311,22.6050554905003,34.3093636680183,-128.19435009058,8.21268477408279,2.59,86.9192039895278
